"STATISTIC","Statistic Label","TLIST(A1)","Year","C02062V02489","Type of Meat","UNIT","VALUE"
"ABA06C01","Meat Slaughterings","2012","2012","-","Total Meat","000 Tonnes","923"
"ABA06C01","Meat Slaughterings","2012","2012","01","Beef and veal","000 Tonnes","495"
"ABA06C01","Meat Slaughterings","2012","2012","02","Pig meat","000 Tonnes","241"
"ABA06C01","Meat Slaughterings","2012","2012","03","Sheep meat","000 Tonnes","54"
"ABA06C01","Meat Slaughterings","2012","2012","04","Poultry meat","000 Tonnes","132"
"ABA06C01","Meat Slaughterings","2013","2013","-","Total Meat","000 Tonnes","931"
"ABA06C01","Meat Slaughterings","2013","2013","01","Beef and veal","000 Tonnes","518"
"ABA06C01","Meat Slaughterings","2013","2013","02","Pig meat","000 Tonnes","239"
"ABA06C01","Meat Slaughterings","2013","2013","03","Sheep meat","000 Tonnes","57"
"ABA06C01","Meat Slaughterings","2013","2013","04","Poultry meat","000 Tonnes","117"
"ABA06C01","Meat Slaughterings","2014","2014","-","Total Meat","000 Tonnes","1009"
"ABA06C01","Meat Slaughterings","2014","2014","01","Beef and veal","000 Tonnes","582"
"ABA06C01","Meat Slaughterings","2014","2014","02","Pig meat","000 Tonnes","254"
"ABA06C01","Meat Slaughterings","2014","2014","03","Sheep meat","000 Tonnes","58"
"ABA06C01","Meat Slaughterings","2014","2014","04","Poultry meat","000 Tonnes","116"
"ABA06C01","Meat Slaughterings","2015","2015","-","Total Meat","000 Tonnes","1027"
"ABA06C01","Meat Slaughterings","2015","2015","01","Beef and veal","000 Tonnes","564"
"ABA06C01","Meat Slaughterings","2015","2015","02","Pig meat","000 Tonnes","276"
"ABA06C01","Meat Slaughterings","2015","2015","03","Sheep meat","000 Tonnes","58"
"ABA06C01","Meat Slaughterings","2015","2015","04","Poultry meat","000 Tonnes","128"
"ABA06C01","Meat Slaughterings","2016","2016","-","Total Meat","000 Tonnes","1078"
"ABA06C01","Meat Slaughterings","2016","2016","01","Beef and veal","000 Tonnes","588"
"ABA06C01","Meat Slaughterings","2016","2016","02","Pig meat","000 Tonnes","283"
"ABA06C01","Meat Slaughterings","2016","2016","03","Sheep meat","000 Tonnes","61"
"ABA06C01","Meat Slaughterings","2016","2016","04","Poultry meat","000 Tonnes","146"
"ABA06C01","Meat Slaughterings","2017","2017","-","Total Meat","000 Tonnes","1130.535217"
"ABA06C01","Meat Slaughterings","2017","2017","01","Beef and veal","000 Tonnes","617.0157834"
"ABA06C01","Meat Slaughterings","2017","2017","02","Pig meat","000 Tonnes","294.1706507"
"ABA06C01","Meat Slaughterings","2017","2017","03","Sheep meat","000 Tonnes","67.12232055"
"ABA06C01","Meat Slaughterings","2017","2017","04","Poultry meat","000 Tonnes","152.2264623"
"ABA06C01","Meat Slaughterings","2018","2018","-","Total Meat","000 Tonnes","1150.993711"
"ABA06C01","Meat Slaughterings","2018","2018","01","Beef and veal","000 Tonnes","622.5447705"
"ABA06C01","Meat Slaughterings","2018","2018","02","Pig meat","000 Tonnes","303.2638999"
"ABA06C01","Meat Slaughterings","2018","2018","03","Sheep meat","000 Tonnes","68.40569263"
"ABA06C01","Meat Slaughterings","2018","2018","04","Poultry meat","000 Tonnes","156.7793475"
"ABA06C01","Meat Slaughterings","2019","2019","-","Total Meat","000 Tonnes","1157.266231"
"ABA06C01","Meat Slaughterings","2019","2019","01","Beef and veal","000 Tonnes","619.8042"
"ABA06C01","Meat Slaughterings","2019","2019","02","Pig meat","000 Tonnes","304.3686992"
"ABA06C01","Meat Slaughterings","2019","2019","03","Sheep meat","000 Tonnes","66.0379"
"ABA06C01","Meat Slaughterings","2019","2019","04","Poultry meat","000 Tonnes","167.0554317"
"ABA06C01","Meat Slaughterings","2020","2020","-","Total Meat","000 Tonnes","1196.513963"
"ABA06C01","Meat Slaughterings","2020","2020","01","Beef and veal","000 Tonnes","633.3763"
"ABA06C01","Meat Slaughterings","2020","2020","02","Pig meat","000 Tonnes","320.1299"
"ABA06C01","Meat Slaughterings","2020","2020","03","Sheep meat","000 Tonnes","66.2313"
"ABA06C01","Meat Slaughterings","2020","2020","04","Poultry meat","000 Tonnes","176.7764632"
"ABA06C01","Meat Slaughterings","2021","2021","-","Total Meat","000 Tonnes","1169.054878"
"ABA06C01","Meat Slaughterings","2021","2021","01","Beef and veal","000 Tonnes","594.5054"
"ABA06C01","Meat Slaughterings","2021","2021","02","Pig meat","000 Tonnes","335.1332"
"ABA06C01","Meat Slaughterings","2021","2021","03","Sheep meat","000 Tonnes","63.4324"
"ABA06C01","Meat Slaughterings","2021","2021","04","Poultry meat","000 Tonnes","175.9838784"
"ABA06C02","Meat Imports","2012","2012","-","Total Meat","000 Tonnes","247"
"ABA06C02","Meat Imports","2012","2012","01","Beef and veal","000 Tonnes","52"
"ABA06C02","Meat Imports","2012","2012","02","Pig meat","000 Tonnes","87"
"ABA06C02","Meat Imports","2012","2012","03","Sheep meat","000 Tonnes","4"
"ABA06C02","Meat Imports","2012","2012","04","Poultry meat","000 Tonnes","104"
"ABA06C02","Meat Imports","2013","2013","-","Total Meat","000 Tonnes","262"
"ABA06C02","Meat Imports","2013","2013","01","Beef and veal","000 Tonnes","34"
